Minisector,PER,VER,Fastest
0,273.1947756213585,274.20942742031747,VER
1,292.6224779916458,291.6349362634548,PER
2,291.204457536859,290.4197752550265,PER
3,186.66875511652503,176.4685296813649,PER
4,117.66081871267777,114.28564390080298,PER
5,230.78775488501347,232.38354880072183,VER
6,275.66565276389053,277.177780565047,VER
7,290.8700690406926,291.7287611906802,VER
8,180.65462873732338,175.79189616759726,PER
9,138.5773910115855,136.00182740628287,PER
10,243.6480076736,244.35353998189913,VER
11,282.54904544548054,285.6320812095425,VER
12,295.32578304057233,294.7272669426716,PER
13,280.4632816498147,266.05598555474745,PER
14,294.80364828988064,291.3166600840377,PER
15,301.1834719464048,292.4179270990099,PER
16,252.8182141448294,241.21414682329035,PER
17,216.5358076576784,210.36977665193857,PER
18,270.727070010694,272.0071588473429,VER
19,294.77741650723976,296.5197358173688,VER
20,304.7525985951065,304.61518850435283,PER
21,231.08339286228548,217.31181018158543,PER
22,250.67931258590622,250.34114662515782,PER
23,139.92274298145225,136.4789074930935,PER
24,209.4927037853865,208.98207535414227,PER
25,,253.11000064,VER
