Minisector,PIA,LEC,Fastest
0,297.5119199927746,295.0913591272178,PIA
1,170.5059265722546,162.98566292741552,PIA
2,175.48174109373932,185.89182566965988,LEC
3,252.95768725394285,258.5700632868623,LEC
4,288.39125351339254,286.2332376973471,PIA
5,253.58724090510802,263.2430101414141,LEC
6,233.62216212453134,234.82342050311647,LEC
7,157.398032446749,151.20156104902256,PIA
8,229.30860568435767,229.21640119142933,PIA
9,283.7347807047619,281.9211654341058,PIA
10,305.1311377750932,301.00483976290786,PIA
11,314.53563180440125,310.71349308242856,PIA
12,319.4846198269006,317.1662710867168,PIA
13,317.5215765982547,313.7780215856242,PIA
14,124.19838569530837,135.2697279424785,LEC
15,117.53197088204112,113.9177148300635,PIA
16,103.87297407637402,107.38959759631997,LEC
17,237.2980524051777,237.54531756563628,LEC
18,286.26661828848484,285.09416689635555,PIA
19,305.3883286030382,304.9259357649911,PIA
20,315.19712907402317,315.19583510933336,PIA
21,316.80897609916855,314.9091025932524,PIA
22,122.84793037376956,124.81379242263057,LEC
23,212.00121311181022,210.35864181885057,PIA
24,271.80091471179577,272.7105631453974,LEC
25,286.9124992,,PIA
