Minisector,PIA,VER,Fastest
0,289.8327501019806,281.7045570957453,PIA
1,155.0319817153803,152.4948914343977,PIA
2,148.3617020956362,148.37401611071698,VER
3,229.31218162511465,226.39675314200215,PIA
4,287.14754173598845,286.36815716173913,PIA
5,285.70882322351963,287.0989490908124,VER
6,136.89435485969713,139.42942630762528,VER
7,139.00432899523335,136.26991334070652,PIA
8,135.0441831265874,131.09715801473902,PIA
9,193.33152022327207,188.37207259664885,PIA
10,132.11571302381677,128.27191976371805,PIA
11,124.1134249235235,118.51116129630338,PIA
12,162.35346762455026,167.86118532765477,VER
13,267.21387811321995,267.54800482709607,VER
14,284.4721193288676,292.2468875123615,VER
15,148.74101841638984,148.52583924861577,PIA
16,201.52012717545807,198.77527488852814,PIA
17,165.80847259436314,175.29354240992393,VER
18,268.0314582006621,269.57205858416586,VER
19,297.1025296016768,293.171235224127,PIA
20,311.00730453490826,307.6064753376266,PIA
21,320.03157904360904,316.9483551879699,PIA
22,324.91883579051853,321.98025513360545,PIA
23,326.8562499809524,325.4499999321212,PIA
24,318.95729125155555,324.0182256399093,VER
25,316.0,,PIA
