Minisector,VER,NOR,Fastest
0,263.4623161025641,264.27644135970695,NOR
1,242.463494919224,244.18858175712307,NOR
2,165.87376975326393,167.60291205072036,NOR
3,247.07869841558048,251.13435095580863,NOR
4,271.99168525071246,269.93315209275363,VER
5,189.69254587851788,194.7521345359368,NOR
6,123.17801765773167,121.05351380537232,VER
7,158.44067043857814,161.24782085610232,NOR
8,257.7945480044403,260.7114954403565,NOR
9,180.45584116138997,181.27534137657656,NOR
10,186.1696618186334,185.00999713304225,VER
11,256.57983045860806,260.65981506212376,NOR
12,238.63762371160496,259.76689546238464,NOR
13,259.55549952,269.8463894193013,NOR
14,284.0659742726174,288.28420705335884,NOR
15,282.9485525333333,283.3771767652174,NOR
16,150.31494052479346,145.85604783479792,VER
17,236.14466355132276,239.27160063656945,NOR
18,283.0586905419309,282.7924115115624,VER
19,295.788945538322,296.95884718961037,NOR
20,300.23246734545455,301.75023795711087,NOR
21,306.1749349302371,305.9511032042691,VER
22,151.16695354112554,155.94844324718497,NOR
23,92.12561365321548,90.95539424190315,VER
24,180.88157831534392,175.38000405464643,VER
25,247.12500053333332,244.77916586666666,VER
