Minisector,MAG,ERI,Fastest
0,291.43019437654226,302.30527053202644,ERI
1,300.78584017914534,306.6511111111111,ERI
2,165.5745804619355,155.75072446808076,MAG
3,222.82906136000003,227.11824489142856,ERI
4,274.5427187639266,282.4789062666667,ERI
5,294.15426751681895,310.4926943702269,ERI
6,302.9139136,323.1803571809524,ERI
7,165.24022372708734,161.13569280000002,MAG
8,129.63273639619047,129.96419182933332,ERI
9,249.65980807974069,252.73601217502704,ERI
10,284.5455876392157,290.75703146666666,ERI
11,297.18125053333335,305.9788888888889,ERI
12,149.40901238666666,144.78896293342953,MAG
13,193.8771727304348,197.07291786666667,ERI
14,261.11025602242006,257.7638202330349,MAG
15,200.10625168888888,195.06410698697093,MAG
16,217.98542014387618,225.55412059402434,ERI
17,217.748836987013,214.9244026975099,MAG
18,242.18700924684077,246.37214983859647,ERI
19,275.8234369333333,275.8924027223881,ERI
20,293.78307259999997,291.97492700106557,MAG
21,252.7355580952381,247.98435791435662,MAG
22,217.88949266776984,218.11136787047616,ERI
23,200.6191058174553,209.19261464242425,ERI
24,266.6592404430237,268.5374472517454,ERI
25,282.1666666666667,,MAG
