Minisector,RAI,PER,Fastest
0,277.2045580603281,283.473072559213,PER
1,294.53183153470513,308.72537465649964,PER
2,294.36285331833363,284.9677535536232,RAI
3,179.71183566920502,158.19660414593525,RAI
4,119.94189448073466,118.0017159937496,RAI
5,238.8963273119702,241.83640390984144,PER
6,283.7657671776743,295.40433553512486,PER
7,297.8082211962497,298.6323669621752,PER
8,169.57514548249972,154.06729469167607,RAI
9,136.97699393821088,133.6600777399115,RAI
10,252.70012104738007,253.470574046027,PER
11,289.3753323577253,294.3875099382023,PER
12,302.1140916201771,293.2318949737252,RAI
13,283.65123246304887,264.06300604521914,RAI
14,302.1896693987062,296.87658269895496,RAI
15,305.7066790202212,296.58384937329873,RAI
16,252.36918202888305,227.80646694614393,RAI
17,218.3110356800671,215.17617328358054,RAI
18,282.9621309333183,289.20429723003457,PER
19,311.16469048399887,319.04716308462145,PER
20,319.3042039458825,310.7087667460442,RAI
21,232.50989237901604,194.55222326967282,RAI
22,262.22683597547604,243.27380433570673,RAI
23,139.16612976642836,126.21526084842588,RAI
24,209.39129031197567,218.57490815823104,PER
25,256.7666645333333,,RAI
