Minisector,SAI,PER,Fastest
0,250.91049525652218,249.08804757505538,SAI
1,281.78729130666665,286.4496881777778,PER
2,169.60284408353172,170.99874223020407,PER
3,167.06996562367164,163.52893502659083,SAI
4,255.51969378716353,259.0322670575569,PER
5,266.3696067663534,271.139410578748,PER
6,221.5319145904762,226.32204794514283,PER
7,200.56056595850248,201.11723206641653,PER
8,159.59124395458193,155.745412572422,SAI
9,224.30842609894768,223.05399354654523,SAI
10,270.27228257391306,274.23784020317464,PER
11,128.85882892900483,126.57968282567288,SAI
12,214.0448547779254,220.58509101185166,PER
13,276.31236387186146,278.76636895238096,PER
14,296.9805370505074,298.59729193904764,PER
15,304.60745611228066,308.3364196366471,PER
16,227.63222744214315,209.05855169595176,SAI
17,130.90929125523036,130.28051162333603,SAI
18,129.42654404742524,134.45786539594295,PER
19,119.63976476498759,118.71522461162994,SAI
20,217.86720483415078,225.157408,PER
21,249.45634225564052,254.24061777013787,PER
22,231.4820124498757,217.15595097142858,SAI
23,211.36924154320656,196.35791724441006,SAI
24,138.97539085367964,135.8354436735316,SAI
