Minisector,HAM,BEA,Fastest
0,285.5589542985432,296.46930316880116,BEA
1,150.98345274153326,154.75790322850105,BEA
2,144.01379835029837,153.76479554552105,BEA
3,231.01891982283905,224.88857898155604,HAM
4,289.7491505487528,289.35252258933184,HAM
5,289.76362206997453,288.3940522325457,HAM
6,136.00305105079516,140.15377174162106,BEA
7,134.70817391224648,132.36217717249878,HAM
8,128.08912625738012,132.58901118482498,BEA
9,185.5459519263492,183.39223711353537,HAM
10,121.35633572619037,126.1632305980308,BEA
11,123.38739226087927,123.49290142373214,BEA
12,152.69877651177393,160.504088533055,BEA
13,267.3100787065692,266.9815660299101,HAM
14,295.1751657659259,291.99648908128904,HAM
15,145.10754773768417,142.6662170203142,HAM
16,196.7917284701804,201.47458330277797,BEA
17,167.65448139986572,166.11546249744504,HAM
18,273.6657578499928,270.89030739890575,HAM
19,298.5012229077686,297.35884377687074,HAM
20,313.7959776831336,312.76070906087216,HAM
21,324.10166688,322.1577993062185,HAM
22,329.1984118196994,325.9521055288889,HAM
23,333.05208327272726,328.4968455094942,HAM
24,332.9125816993464,327.8078913333333,HAM
25,333.5187496,324.0,HAM
