Minisector,HAD,LIN,Fastest
0,315.8428526520357,320.5355003984282,LIN
1,328.39439176388913,346.92376832725887,LIN
2,333.110837301286,351.8225509746939,LIN
3,309.4855260927721,320.4592025163655,LIN
4,156.84439687314566,144.4424787184724,HAD
5,191.91167674949065,178.45041142866685,HAD
6,220.44475462119908,208.92376173006704,HAD
7,261.9279763266943,259.08081904474165,HAD
8,247.73586690583505,236.72056862465283,HAD
9,153.27403672934832,143.1307107045097,HAD
10,215.6158019823045,201.0531187189512,HAD
11,126.49457470929651,120.24368757493953,HAD
12,226.6456357282493,228.39883223664344,LIN
13,168.4781016125882,163.74497661667894,HAD
14,210.9337597503898,205.91980083748524,HAD
15,222.528046738407,211.84613126231645,HAD
16,261.64747292414785,257.813343491141,HAD
17,296.66386922139077,290.99512195391355,HAD
18,138.57706492276856,136.91494990143622,HAD
19,153.84396455756078,151.31998357255878,HAD
20,128.82910567314093,126.3619879917922,HAD
21,222.15130957659252,216.7907879351836,HAD
22,250.0641308901885,249.7011092770585,HAD
23,232.42810510647539,227.79699381770632,HAD
24,281.74083360255776,282.42895948952383,LIN
25,307.3112043993724,,HAD
