Minisector,OCO,LAW,Fastest
0,251.01984257015872,257.07272363512044,LAW
1,132.9040498714061,134.03212509799204,LAW
2,206.33884833928343,208.1961265432381,LAW
3,247.52053364786326,246.47930254448485,OCO
4,255.76672696829124,260.62675124755583,LAW
5,184.77507156885508,176.51397542508948,OCO
6,145.83740485090888,147.77498335691092,LAW
7,180.21309416114286,185.1079586826634,LAW
8,100.74692484418144,102.36523799608386,LAW
9,70.7547977016698,73.66877147411198,LAW
10,98.80160496247696,98.30016038035008,OCO
11,194.20653734159592,186.06201040056692,OCO
12,246.41703039001985,244.48574971540089,OCO
13,266.8182967180961,266.05425676059645,OCO
14,278.075556260202,274.3505039615246,OCO
15,105.95625358785877,102.34135497279038,OCO
16,167.98782666935574,162.4736540092347,OCO
17,184.1860503178836,180.57060442986204,OCO
18,205.73677588641164,201.9541484518159,OCO
19,213.39428081030815,209.6730138352941,OCO
20,138.32540746484528,136.47211532566348,OCO
21,110.0503228480574,109.23648702937707,OCO
22,101.1084078233997,100.52390064824624,OCO
23,198.40364847946128,199.82826215793,LAW
24,248.64643632103895,249.81150992,LAW
25,263.0,,OCO
