Minisector,BOT,HAM,Fastest
0,278.1141767508633,278.14003612753623,HAM
1,293.43937493333334,295.8895834133333,HAM
2,247.6866867204708,233.30048623194116,BOT
3,115.97829126872082,118.7480900135473,HAM
4,128.07219217939885,137.3207853438811,HAM
5,248.41540280071038,249.05833370793653,HAM
6,250.04236088888888,250.03655705979128,BOT
7,122.97067829613806,124.15321705028276,HAM
8,248.54288204444444,244.59670182222223,BOT
9,263.5655176005106,255.49882811549583,BOT
10,208.62912524926108,205.46537305747125,BOT
11,140.4225961065673,142.69321105638375,HAM
12,205.79258635750887,205.04285718095238,BOT
13,260.95543789437227,257.65456966211974,BOT
14,121.6551561169903,122.45433459817033,HAM
15,195.64373226899718,185.83246077049196,BOT
16,260.69810637575756,254.01323489723825,BOT
17,293.25547784098785,287.2783333333333,BOT
18,306.970888134872,302.74402778753273,BOT
19,312.9578947368421,309.9454365206349,BOT
20,315.11535090526314,312.1868749866667,BOT
21,169.48982767058826,165.6828169001422,BOT
22,139.06765364346305,146.64355596334119,HAM
23,205.81456431255253,201.65355509475813,BOT
24,236.16400017066667,234.18666679466668,BOT
25,264.7499968,264.85833386666667,HAM
