Minisector,VET,RIC,Fastest
0,288.37254901960785,282.29629777777774,VET
1,128.12684871400293,129.621403562477,RIC
2,165.5477954144621,167.62634856208163,RIC
3,220.77380816114055,219.96884977777776,VET
4,163.70617283950617,170.99098737535755,RIC
5,244.64902077848964,247.13447941121777,RIC
6,212.45486542443064,213.4126915878788,RIC
7,140.79484580939737,141.6866572417377,RIC
8,237.0340476190476,237.36494727256095,RIC
9,277.1181037969187,275.87328409635853,VET
10,284.52964851586836,278.68578560000003,VET
11,149.67367038573144,146.74455863988547,VET
12,222.4889891098671,223.31422958951515,RIC
13,271.27058823529416,269.96966708891733,VET
14,269.2444472888889,266.4138890666666,VET
15,104.56925510879745,104.75815900668232,RIC
16,226.96031613968253,220.74395749391502,VET
17,276.33723986666666,273.71214307220976,VET
18,297.7825519333333,294.5319841930159,VET
19,308.53538909847583,304.72281098140905,VET
20,312.45818792973546,310.099000010898,VET
21,291.8118486473895,292.5174098,RIC
22,156.89118974668855,160.9054508977778,RIC
23,238.6202955828024,241.19605327719296,RIC
24,280.54004557037035,281.29962505054635,RIC
