Minisector,VET,ALO,Fastest
0,298.0252604666667,287.08259846274507,VET
1,307.9524234122449,291.80963553333333,VET
2,172.496415550193,167.0898995967527,VET
3,231.00312512,227.93782730217578,VET
4,280.42923379237095,273.30000786859455,VET
5,298.55559032165684,288.9325524,VET
6,304.34000000000003,294.3374864741945,VET
7,179.6441971047619,161.89266769418708,VET
8,133.84202368,137.71146749495722,ALO
9,254.215942523465,249.8779770751323,VET
10,286.484375,278.6730977891159,VET
11,299.44973953333334,286.01953133333336,VET
12,154.04209280540087,144.64556050080932,VET
13,196.84373643395446,200.93281402711364,ALO
14,264.80812266078175,256.35416687407405,VET
15,203.63405787826088,197.97893749927803,VET
16,226.58486782643362,221.0834037737774,VET
17,219.86746031746029,219.92927461245338,ALO
18,250.71947786232494,246.55508191326584,VET
19,280.680638634822,273.5402437569344,VET
20,296.6306372392157,288.09880926666665,VET
21,262.20485501632356,268.4470597647059,ALO
22,230.07395882666665,224.7489844054267,VET
23,206.93465856969698,207.76977711515153,ALO
24,267.2186273882353,263.1454270168842,VET
25,286.7,,VET
