Minisector,NOR,ALO,Fastest
0,323.27377531049916,319.57644961656314,NOR
1,326.53958332121215,329.29829541818185,ALO
2,322.36136378181817,328.28195738781335,ALO
3,199.35076321187304,198.1303401823634,NOR
4,115.83246220339517,116.26339049060226,ALO
5,267.4828997123643,262.18024820599646,NOR
6,304.47331614634635,299.19854621183634,NOR
7,315.3447464347826,313.50510814236077,NOR
8,277.7711205313269,285.4127362883989,ALO
9,140.35929599394385,138.09531700804976,NOR
10,218.12999090999284,218.74651612903116,ALO
11,207.72612891434224,204.25433023757193,NOR
12,192.57576738245615,193.718338006866,ALO
13,269.71498555367737,262.860647545679,NOR
14,307.2625773581781,302.3577037969968,NOR
15,323.2529810591721,317.40688408115943,NOR
16,263.2294110137566,260.29411085731795,NOR
17,198.380324777669,194.81940277925526,NOR
18,272.5965381813051,264.4935822467491,NOR
19,309.30941670273893,302.4705450362611,NOR
20,323.3698862060606,318.4566390067282,NOR
21,303.8848972888889,304.83923573333334,ALO
22,200.45095554202987,204.56167383703703,ALO
23,265.69597040878864,259.13817220411215,NOR
24,305.0250543281404,299.2328121333333,NOR
25,,310.8291658666667,ALO
