Minisector,LEC,OCO,Fastest
0,284.2882060882563,267.8430506453094,LEC
1,112.08921616653497,116.63433318811231,OCO
2,166.77141153400402,156.3033345242407,LEC
3,208.3188788193132,192.64090482659876,LEC
4,165.32567223355022,162.67193618345866,LEC
5,242.62546998071426,240.60387680211858,LEC
6,190.28200497936027,198.52038801995337,OCO
7,136.9059964557623,132.27069478948673,LEC
8,234.91654748030302,228.60014848588676,LEC
9,272.7143419793547,269.79387378637057,LEC
10,273.50925626912715,275.1292520272428,OCO
11,147.3958869908304,142.04312163900025,LEC
12,220.14529379447438,214.5637607716458,LEC
13,266.3293863041604,263.2059827498818,LEC
14,254.60357463288886,258.9163632780247,OCO
15,99.6369381877086,99.76794341654511,OCO
16,219.69305673387416,214.8074648050672,LEC
17,271.3645919181105,269.672939202963,LEC
18,293.14118458,291.92252165662325,LEC
19,305.022841701813,302.6074079176875,LEC
20,311.1918816160847,308.8187407454815,LEC
21,280.1589285123271,278.58266945169044,LEC
22,152.11564407809996,145.97711971914853,LEC
23,233.7219451387707,230.90241343154435,LEC
24,278.55472480717475,272.06433136252775,LEC
25,,284.0888888888889,OCO
