Minisector,VER,PER,Fastest
0,294.9966157521886,297.4343625535353,PER
1,216.05775932835218,217.220113400685,PER
2,233.3262801495591,230.59439611989023,VER
3,277.3173577994478,276.53748987716307,VER
4,241.92732812609694,245.88681989594303,PER
5,133.6630549912837,132.57548787655284,VER
6,212.52043569824056,204.8404853186977,VER
7,261.56829195545356,256.88269222890267,VER
8,251.46698733602182,262.27974260016896,PER
9,241.05832491745593,243.90101773253247,PER
10,275.88352765084886,276.97641807306485,PER
11,289.6422955577274,292.8618485370804,PER
12,297.45618639906024,302.3798930242424,PER
13,301.56904765968255,307.10856755544376,PER
14,295.39677814923783,307.68828102727275,PER
15,259.304627584265,275.8517119745992,PER
16,248.33281112333725,244.668735322402,VER
17,278.45028876882486,278.03163741714286,VER
18,285.38670480246793,291.5930258793651,PER
19,161.22987560662085,160.23301057843773,VER
20,211.41180323706152,212.31710058262797,PER
21,182.85665483009672,205.46797336322138,PER
22,140.42650735409995,138.99916444063152,VER
23,238.48313151685923,236.17379635105905,VER
24,281.54343441454546,284.0443849258297,PER
25,293.0,295.6583338666667,PER
