Minisector,GAS,TSU,Fastest
0,243.66932704335238,242.781159910559,GAS
1,276.4532774826667,275.15085440969466,GAS
2,170.08741963852145,182.9304725157248,TSU
3,152.79442544127136,152.22201796695202,GAS
4,255.30569457005714,255.26864764062537,GAS
5,264.8351278416649,272.2559846254545,TSU
6,226.42067257641025,236.8581376586166,TSU
7,203.98716225570007,206.3075609900408,TSU
8,158.1339707992381,165.35834778571427,TSU
9,209.93026589170069,215.09640842221015,TSU
10,269.89092423023766,269.33492656012646,GAS
11,130.9124140222962,129.5697610196971,GAS
12,197.74532714161103,207.70803672222223,TSU
13,268.7996373501968,268.0663404502971,GAS
14,290.63327203029905,289.52613993425047,GAS
15,297.6066523049928,299.1018884237873,TSU
16,231.71487990109546,243.58162994212603,TSU
17,132.5442472026282,137.00819961971206,TSU
18,128.11370577015998,136.7842341080681,TSU
19,121.51436160087451,126.6806515952237,TSU
20,225.56509673532,225.39758392685715,GAS
21,257.88579731803344,258.8793757135161,TSU
22,240.86937567706036,237.1070687296865,GAS
23,211.45333423354793,216.5545076201092,TSU
24,136.25334754532142,136.73315266816945,TSU
