Minisector,ALO,HAM,Fastest
0,299.5868653883948,300.8512595974095,HAM
1,243.35014004000598,229.31510860546032,ALO
2,132.5421965414522,135.43885371757403,HAM
3,229.2854608410766,245.97524985779845,HAM
4,191.70286529509298,191.96616683020682,HAM
5,244.59373072298754,239.65652069538316,ALO
6,234.94254979184439,226.091877185746,ALO
7,256.2880402770881,255.23041494550264,ALO
8,284.07465677963637,288.160485689613,HAM
9,211.99691318672438,209.31120370541393,ALO
10,208.04073058185728,198.11101044464058,ALO
11,271.3974225252174,272.62612346225893,HAM
12,210.26159003530665,222.23665759957973,HAM
13,251.5499653823129,246.755296738322,ALO
14,289.12941312574355,289.29895689671844,HAM
15,303.51637290571426,304.87928447536234,HAM
16,299.88990493188214,308.2730983046514,HAM
17,212.31086047353534,213.60822475873982,HAM
18,255.3160158672374,256.4026577494887,HAM
19,291.6758845316306,292.06203018524445,HAM
20,305.2639354424963,305.4808682452301,HAM
21,310.4237500088889,304.7463614640665,ALO
22,160.1645153916969,152.30543984779283,ALO
23,232.58110951528565,222.51244239487116,ALO
24,284.6630600759596,285.19994196269084,HAM
25,293.00713874285714,297.682144,HAM
