Minisector,GAS,NOR,Fastest
0,307.237037037037,305.92914760083937,GAS
1,237.9873196057971,232.20240702939958,GAS
2,135.86198038563356,130.54769835632527,GAS
3,217.26046598095238,217.417833216,NOR
4,264.9892449515673,265.58983333333333,NOR
5,289.29851183068786,289.39351845925927,NOR
6,304.67962962962963,302.7046296296296,GAS
7,284.0338678515883,275.12683333333337,GAS
8,171.08694432,171.35773812104455,NOR
9,236.76391304347825,240.49209373754573,NOR
10,274.08416666666665,274.3391666666667,NOR
11,261.4133333333333,260.8383333333333,GAS
12,197.78358024691357,202.19929876340981,NOR
13,131.14812748339142,124.01386358688279,GAS
14,121.66708773606861,120.73866102481908,GAS
15,167.97322443351254,163.64350529981783,GAS
16,122.80285166777408,118.57686954141948,GAS
17,223.35521116654584,225.6635868289855,NOR
18,185.5380952013136,180.23044624285237,GAS
19,155.3147727498707,163.3490159088001,NOR
20,246.12301587301585,249.96666666666667,NOR
21,276.57826600039743,278.40813518682944,NOR
22,293.45462957037034,294.2031862588235,NOR
23,303.17671957671956,303.0728070175439,GAS
24,308.43986560163273,305.8803921568628,GAS
25,311.22594189765573,,GAS
