Minisector,HAM,LEC,Fastest
0,271.04141472986,269.03541758548755,HAM
1,249.73970533554268,249.33055917928377,HAM
2,124.58036117825503,118.80898722234048,HAM
3,175.83932379909936,167.15712449738376,HAM
4,200.813192503343,198.8161285503952,HAM
5,198.76083217934064,195.1946039913975,HAM
6,264.16385618217237,263.10566543588124,HAM
7,286.25505738386323,287.4404449879681,LEC
8,234.88474567063164,242.85034999549782,LEC
9,149.39365033133186,141.50801955365418,HAM
10,118.95664355838258,108.14089261929091,HAM
11,149.51837769420953,147.546904845225,HAM
12,243.8965771750523,240.19326739017143,HAM
13,158.69037526408013,148.58269027341964,HAM
14,149.1027325092495,142.79031178572305,HAM
15,109.0992811330426,103.56734092620707,HAM
16,220.6960269377778,214.6706057685727,HAM
17,239.95374202675617,236.1031267023706,HAM
18,131.02237026913454,127.80659750130675,HAM
19,239.5227546611456,240.0493288940661,LEC
20,275.20825379905705,276.9849351413333,LEC
21,212.0419904234836,202.5171196946046,HAM
22,148.80426376262338,141.03412028613317,HAM
23,217.0637826084022,212.7863544093091,HAM
24,224.24516320792551,220.2854473669264,HAM
25,253.83750080000002,,HAM
