Minisector,ANT,OCO,Fastest
0,273.4786217267829,271.9698804194486,ANT
1,302.012378851498,299.33331955635157,ANT
2,317.02992914896663,312.23575794832954,ANT
3,325.1535406105006,318.6516607552448,ANT
4,328.81039180317464,321.5081844952381,ANT
5,330.71730983009525,323.5110116525821,ANT
6,202.10644317206348,194.81319607619048,ANT
7,109.8379988837539,104.2830805790408,ANT
8,192.71669879911897,194.1735342431117,OCO
9,264.203764296092,267.96176959568055,OCO
10,290.66280307777777,293.68386262906614,OCO
11,160.2449609300066,151.48016626994803,ANT
12,94.82655637484356,94.33498031324223,ANT
13,116.86703674563708,112.52572718207448,ANT
14,218.07795797291402,213.55485172521583,ANT
15,189.88159801752124,189.41066221663493,ANT
16,223.75044230095236,224.29012585985524,OCO
17,183.84028606520727,180.79818747597884,ANT
18,233.15541613332482,245.36677304813634,OCO
19,278.09817768493826,283.03519851757574,OCO
20,242.1605278452827,241.6058861246414,ANT
21,146.74812254245504,141.75092400817314,ANT
22,96.1840079354555,95.64572199098124,ANT
23,122.4569670826392,123.33484416860887,OCO
24,222.7525174887157,226.8069205642956,OCO
