Minisector,NOR,VET,Fastest
0,258.66616437864906,248.110305069899,NOR
1,131.5597641637816,118.50627908399474,NOR
2,202.031664431746,199.54434523508772,NOR
3,243.9389833966979,247.76632205071414,VET
4,255.16650258479297,248.00692417641025,NOR
5,182.91536705333334,166.3582233153016,NOR
6,146.00920565077828,133.04714935124227,NOR
7,183.01662333621934,175.84100090133333,NOR
8,101.92619804632807,98.25372272874233,NOR
9,74.73630437043174,70.74456481331248,NOR
10,97.21558648728413,98.38874357037037,VET
11,180.726836608,192.0770733784632,VET
12,241.06064448358543,248.49275156994707,VET
13,265.39675201088437,271.24230147468313,VET
14,274.8107693128205,262.75618362319875,NOR
15,127.52770623456611,106.61184382632193,NOR
16,152.12192411681423,158.81340943652663,VET
17,191.3637194180433,173.807448757191,NOR
18,196.94912531049627,194.41388870334083,NOR
19,217.22645221736695,194.54781271703703,NOR
20,137.59768679558172,128.2246458466847,NOR
21,114.9471629997279,101.65246030552416,NOR
22,98.10449279122727,97.32819245607423,NOR
23,197.0244063774843,202.0326265567137,VET
24,250.4335384387842,255.74719073394928,VET
