Minisector,GAS,RIC,Fastest
0,316.2754774,330.4401903518286,RIC
1,319.0162526144927,345.77773629059726,RIC
2,312.6970645212121,354.6400595657143,RIC
3,202.94859422253737,214.65101976647406,RIC
4,125.56308713469704,114.06438898316948,GAS
5,264.90385750123454,263.9444697003173,GAS
6,295.48208563352796,301.58909978509445,RIC
7,301.82638888888886,320.2938406956522,RIC
8,272.35181667179717,283.8303028323512,RIC
9,151.62257900642666,145.9950447079028,GAS
10,225.60143267619048,220.93388312409377,GAS
11,222.79787962534925,217.19060935054378,GAS
12,203.11955362285713,195.9975999972313,GAS
13,268.1103830857143,268.2151667461483,RIC
14,299.03886386031746,307.5571244746032,RIC
15,307.64692030144926,322.52238806200563,RIC
16,263.34347481904763,260.91815428571425,GAS
17,214.26050455919193,202.3675152111626,GAS
18,272.7187952996337,269.3046299202822,GAS
19,301.7524998217143,308.1311364660716,RIC
20,307.36990406321655,322.99821429399583,RIC
21,297.4711809269841,306.8711504184462,RIC
22,219.46190107689992,206.5875702186651,GAS
23,265.5975304296296,263.30625737045114,GAS
24,299.43076287199267,305.4447916,RIC
