Minisector,LAW,HAM,Fastest
0,289.0769258989051,297.7797956152749,HAM
1,160.62502477307493,163.96248617642917,HAM
2,164.99528355178683,155.49906231012724,LAW
3,231.9425233177957,229.13838681429846,LAW
4,288.870508667248,290.05821166655164,HAM
5,281.5731983978929,293.38677782303034,HAM
6,144.0331214740019,147.71324797140957,HAM
7,144.93511600438686,139.60927422288464,LAW
8,130.8709616617675,143.8055608269837,HAM
9,187.3480991090141,186.20009987861906,LAW
10,140.99334307834272,135.85746155160862,LAW
11,127.86753515438696,131.50558438633072,HAM
12,174.5033196135826,169.404179134039,LAW
13,270.43073779485206,267.2934566664975,LAW
14,293.90165538518255,292.90627320438284,LAW
15,152.37922089488472,154.3355618304893,HAM
16,202.7018915652661,210.96143015739497,HAM
17,179.84815190570203,171.28811337846741,LAW
18,273.1988176239287,271.8812878919171,LAW
19,294.9338487006781,296.41757566564763,HAM
20,310.10974175703956,311.62151178522805,HAM
21,317.19566742254887,321.26978690489426,HAM
22,321.91765422337664,326.0134381416114,HAM
23,321.193248984103,329.4351419717671,HAM
24,310.1358280693957,325.05827342430223,HAM
25,,321.94409825300085,HAM
