Minisector,LEC,TSU,Fastest
0,268.9070454868853,265.66124965333336,LEC
1,289.16774414337664,286.0154135627052,LEC
2,296.3364753964912,287.92655344858554,LEC
3,125.85258229179027,121.18403887212425,LEC
4,190.71231797974608,183.13300750567618,LEC
5,248.21810988752955,249.48111284506714,TSU
6,131.10397446765307,134.70089343027882,TSU
7,197.86233197806635,194.3089794662825,LEC
8,255.44780830465947,252.54089131154743,LEC
9,279.788221280393,276.31556051649125,LEC
10,232.12274891123812,227.05152072526533,LEC
11,170.74845766908362,175.4306510895922,TSU
12,184.8329559866103,180.64394406616418,LEC
13,146.38435623284934,141.8230380041762,LEC
14,172.01696086317875,168.43715092519435,LEC
15,156.12891467297297,157.40569757197932,TSU
16,215.80821684619607,212.94216708695504,LEC
17,236.096440485005,229.43954054061916,LEC
18,236.78012234276508,231.59136630486378,LEC
19,237.4691344352639,235.89768550587013,LEC
20,146.1138436345437,142.20222515033637,LEC
21,127.94576517503532,130.90668423273306,TSU
22,165.07540225908068,165.8980205972789,TSU
23,148.26919244224314,142.2755274124633,LEC
24,228.50472819120182,219.1571533085412,LEC
25,,251.05219070707156,TSU
