Minisector,HAM,ALB,Fastest
0,279.0425385192311,284.6619971047619,ALB
1,292.3485355284641,303.1748266222222,ALB
2,287.32375650081724,297.92567135710294,ALB
3,176.7182438928751,168.35976885005746,HAM
4,128.4400546438448,128.02968048813926,HAM
5,242.94230649039937,243.23988364944913,ALB
6,280.9951057213404,283.3052033012194,ALB
7,286.1049604825397,287.94228517790475,ALB
8,186.91943730498784,187.38941330988297,ALB
9,153.55374027687338,152.0763385291583,HAM
10,256.2095986044001,259.61796339583555,ALB
11,291.32765581274447,293.5102610540241,ALB
12,299.07474906742596,306.3568573238726,ALB
13,276.12256084436143,289.2037110211347,ALB
14,292.8896904655238,299.8993701719683,ALB
15,292.7946018177613,297.90216675298797,ALB
16,248.9963345316656,259.2208002595752,ALB
17,232.95429794767622,234.81859795825727,ALB
18,278.03311285502645,280.1349294310323,ALB
19,294.1583185379172,298.3237002173364,ALB
20,291.21050996877267,294.86133329066666,ALB
21,234.6078320963415,239.09784105928145,ALB
22,264.99689834667964,260.9623462338826,HAM
23,144.77037699709234,141.70110896619926,HAM
24,225.6962993858983,226.3348595395792,ALB
25,261.06666666666666,,HAM
