Minisector,VER,TSU,Fastest
0,294.9966157521886,295.7463637754459,TSU
1,216.05775932835218,200.87415475396807,VER
2,233.3262801495591,229.06860719009222,VER
3,277.3173577994478,274.37707850897084,VER
4,241.92732812609694,235.20517924858524,VER
5,133.6630549912837,125.42264925017943,VER
6,212.52043569824056,211.19814924895243,VER
7,261.56829195545356,255.5770247626182,VER
8,251.46698733602182,242.01550053052526,VER
9,241.05832491745593,237.20437129258445,VER
10,275.88352765084886,273.37110863178856,VER
11,289.6422955577274,290.53302514264385,TSU
12,297.45618639906024,298.33376083204837,TSU
13,301.56904765968255,301.52492957196444,VER
14,295.39677814923783,299.8013944239674,TSU
15,259.304627584265,254.88686328540393,VER
16,248.33281112333725,244.05687678572144,VER
17,278.45028876882486,277.1525178359486,VER
18,285.38670480246793,286.7384757192026,TSU
19,161.22987560662085,158.92236299354667,VER
20,211.41180323706152,210.91858222514833,VER
21,182.85665483009672,185.74213863597447,TSU
22,140.42650735409995,140.54506584679982,TSU
23,238.48313151685923,236.0356268499856,VER
24,281.54343441454546,281.2278624562494,VER
25,293.0,,VER
