Minisector,NOR,BOT,Fastest
0,281.98204544000004,306.05689298590477,BOT
1,210.52967445681404,213.67613214253677,BOT
2,223.03976253226665,226.9023478866658,BOT
3,270.00107173206345,278.56797861248555,BOT
4,243.95247936147564,252.42172829139892,BOT
5,128.7339831925923,131.4244350495352,BOT
6,210.1553301486123,210.2700285238243,BOT
7,254.6878913770545,255.16470542933845,BOT
8,240.34540399175407,237.3510352578266,NOR
9,228.06668668041516,232.44098008180777,BOT
10,270.6326280688133,273.90761638617283,BOT
11,288.85749712610846,293.0185272617544,BOT
12,298.72587740016706,303.7734168586667,BOT
13,303.30371437104765,309.73146936541355,BOT
14,296.1655012939327,307.32523391369966,BOT
15,248.34279875746032,249.81795446044865,BOT
16,240.0147320214355,234.8685923753151,NOR
17,276.1940243051429,275.8483483173449,NOR
18,282.41862463318034,290.3506003605549,BOT
19,157.0640542845113,154.48890491856352,NOR
20,212.2952113774587,210.85727179880837,NOR
21,187.442709627013,183.70569363571428,NOR
22,140.56756674775855,139.18124320263482,NOR
23,234.53378034140934,238.45382867860587,BOT
24,276.05976429298704,279.4702386568707,BOT
25,285.57857188571427,,NOR
