Minisector,RUS,GAS,Fastest
0,297.3017884232618,304.15355164160155,GAS
1,308.95395840888887,321.71708413415985,GAS
2,311.5168817107609,329.5032636165079,GAS
3,294.80904400089014,310.9306422719198,GAS
4,160.2974438307279,157.8483988969505,RUS
5,211.9448505819665,208.9596364838788,RUS
6,244.29098522874457,233.34452887923248,RUS
7,271.55543120981474,268.23290387764706,RUS
8,240.73766470580085,249.435534382985,GAS
9,161.7017579557639,156.9959636960265,RUS
10,212.6678467949714,218.27748882615396,GAS
11,125.07186771389475,124.0158541657201,RUS
12,230.2341679483563,220.8214761114084,RUS
13,176.76608481203252,171.6373163290771,RUS
14,224.13027426107107,213.50624879612857,RUS
15,246.98452208688994,242.3905172414432,RUS
16,270.00137054796994,263.8015128617265,RUS
17,300.88428920392994,287.6384628571429,RUS
18,144.90338366473458,151.90703734806348,GAS
19,172.2993624398495,158.834354065778,RUS
20,138.70045267635487,135.70053406785325,RUS
21,232.02973291742902,224.56713787854997,RUS
22,265.4525935498183,260.58349362378067,RUS
23,255.60293035479202,250.22902842873208,RUS
24,281.02800441803174,275.8286442238769,RUS
25,,288.59374879999996,GAS
