Minisector,BOT,SAI,Fastest
0,285.03783059504764,277.24016785066664,BOT
1,164.51712161143539,160.08070407445166,BOT
2,155.0219409027613,150.9264159152894,BOT
3,220.83378230204082,229.03518393791887,SAI
4,280.2687504484848,283.5037107690912,SAI
5,284.01840146666666,276.4178226577225,BOT
6,149.16235345053673,143.5235195572802,BOT
7,144.82990567757577,141.4123427891681,BOT
8,145.2354829326257,143.62514708316834,BOT
9,192.76228353960636,187.80684657636834,BOT
10,130.7313900345967,129.11961442597686,BOT
11,122.9382293425685,121.06632435063445,BOT
12,174.28531037877653,171.33795050897982,BOT
13,268.0104169333333,267.14238061714286,BOT
14,285.43985658863744,282.39964813852816,BOT
15,155.9459785738849,152.08532195324676,BOT
16,203.15727536625624,212.492423232524,SAI
17,183.33177617447566,177.36460077467237,BOT
18,273.0990336976566,273.87965828240164,SAI
19,293.2699529293802,293.8078970112125,SAI
20,308.00122190828546,304.9691962920635,BOT
21,316.7425739468271,311.71488429141175,BOT
22,317.5761056103422,313.9313491809524,BOT
23,322.77893511111114,316.0035714539682,BOT
24,324.13172607238096,314.6733333333333,BOT
25,320.0,310.0,BOT
