Minisector,ALO,LEC,Fastest
0,293.6000710983476,295.04088312844476,LEC
1,301.2918877235756,307.8793441935802,LEC
2,306.16733224811173,310.0053031653333,LEC
3,183.40262557989172,179.26067366089532,ALO
4,208.27500366918414,208.48930299418373,LEC
5,208.1511156943159,199.87964147138322,ALO
6,264.1131652405195,265.70924595722244,LEC
7,252.8178888331382,238.95296673500843,ALO
8,212.39631110424455,210.2014105678718,ALO
9,203.32092642538655,210.36466311416257,LEC
10,141.34036211355908,134.37480616440575,ALO
11,201.81821819386835,196.24526668580404,ALO
12,184.70354099329128,182.71623081265744,ALO
13,252.0701973445614,255.29464775495074,LEC
14,177.87327424383207,172.76470643152382,ALO
15,234.90179843995816,232.683668294552,ALO
16,281.01598803957705,281.8175047083901,LEC
17,291.370045076337,290.9136937694967,ALO
18,282.6402630379092,278.0803561489631,ALO
19,263.4914075728296,260.6982859300756,ALO
20,264.06959250290214,264.34847397101447,LEC
21,265.933064579601,261.0905640194116,ALO
22,232.08123348086232,227.42852896920178,ALO
23,200.73130598679757,207.8195837758192,LEC
24,269.5511629424017,273.0540829821734,LEC
25,,286.7218744,LEC
