Minisector,HAM,MAG,Fastest
0,275.66680231837364,276.9647105679467,MAG
1,294.5587287933422,299.71927909028165,MAG
2,293.11953181241626,292.4971560804233,HAM
3,177.00824405167126,172.94493301889386,HAM
4,117.85342668890338,110.5428428224742,HAM
5,234.91313946627014,233.70195665533205,HAM
6,284.1148951812171,288.9947544827361,MAG
7,299.5001983500997,305.7807533206349,MAG
8,173.02286739795736,159.7864885376775,HAM
9,141.3521281141012,130.61024343445726,HAM
10,253.753581263256,247.5063485878103,HAM
11,289.7124617146753,286.9283066960479,HAM
12,300.98430430740717,295.7375847057107,HAM
13,278.17231317158354,264.11068408072344,HAM
14,301.1871547059701,292.7643682787902,HAM
15,302.44219352624077,300.26939566646837,HAM
16,245.56701849358507,227.6127010625421,HAM
17,218.94304936637275,210.53918580946373,HAM
18,281.148342527786,279.3148114771844,HAM
19,308.3456376735651,310.8410605899202,MAG
20,317.67539500926665,321.3272545180387,MAG
21,225.7251809585883,216.4392411263361,HAM
22,260.09609831760685,255.46838727096926,HAM
23,134.38310206022405,129.4680018140734,HAM
24,204.40470848887497,205.61078247744354,MAG
25,245.97095302133192,,HAM
