Minisector,SAI,TSU,Fastest
0,256.69918803859986,254.01202240815462,SAI
1,135.44197617131312,134.89304473936508,SAI
2,202.83158917746172,201.41626872898922,SAI
3,247.2824914422439,244.92215160090703,SAI
4,256.6403754805195,256.3753447253333,SAI
5,178.9676527925019,179.54631660003798,TSU
6,149.91850674699938,149.40053830970575,SAI
7,183.1614394375065,189.67067673043476,TSU
8,103.01513594823992,104.70949940991747,TSU
9,75.01329342206746,74.65098018307171,SAI
10,91.26667983404809,97.26188869256579,TSU
11,186.94010131156463,178.64851507070705,SAI
12,245.0092561235209,240.90974203271574,SAI
13,270.72904273038097,263.123332114595,SAI
14,275.82099191794873,275.43116394050986,SAI
15,105.16481880630181,107.54046106903809,TSU
16,158.11447069061225,148.59855546832222,SAI
17,189.962677047873,182.8181285429841,SAI
18,203.37466561284782,197.41392882554007,SAI
19,215.85422526162463,211.01617048,SAI
20,141.5679961004329,139.75927779592942,SAI
21,105.12172034127077,109.78983812199422,TSU
22,97.76671209162964,96.79433715819331,SAI
23,201.41443293946523,197.07636297599998,SAI
24,253.684412205874,247.29048627257464,SAI
25,,260.838710861371,TSU
