Minisector,ALO,HUL,Fastest
0,297.90639228799273,313.1845405401212,HUL
1,217.11934875943413,210.6330800558422,ALO
2,229.0540914499734,227.21695224279364,ALO
3,276.8397590499766,281.7524326431746,HUL
4,255.8835579302603,245.9236491798335,ALO
5,124.30794168354858,124.95881718565349,HUL
6,215.02034943472316,208.16252631397936,ALO
7,259.8685587790505,260.6374270815584,HUL
8,246.45405994314464,250.09482909496597,HUL
9,244.00429489631833,238.9117969850038,ALO
10,275.0069468073439,277.34311386947365,HUL
11,292.22218067555553,294.77147828726737,HUL
12,299.81751491742,310.15741516663104,HUL
13,301.7314044337397,323.198695897284,HUL
14,297.4502138377335,325.27083335111115,HUL
15,254.8498521138189,256.9515122923457,HUL
16,244.766862488658,237.62524979471436,ALO
17,279.63676206560535,281.70621181137085,HUL
18,287.1603615425837,304.75626125926465,HUL
19,161.66598786574755,163.20734257797673,HUL
20,210.96600402068026,204.1938933054945,ALO
21,188.68841130091604,191.78716926851249,HUL
22,145.59559190554305,134.51637504757298,ALO
23,242.79787736684145,231.87379392430392,ALO
24,283.46329660709506,290.0590775055238,HUL
25,294.8214290285714,308.1250002285714,HUL
