Minisector,HAM,PIA,Fastest
0,290.49380131338984,275.5907468578081,HAM
1,109.8853373863579,123.82362481316156,PIA
2,165.98260711863097,164.69578261885886,HAM
3,208.17366748104826,219.85018275250795,PIA
4,162.4771784211016,160.22525273595207,HAM
5,243.09150361410016,238.33420414012423,HAM
6,203.50490967720773,208.3782248185348,PIA
7,135.2362359284372,127.51850286243273,HAM
8,240.4278527846698,227.10759206442896,HAM
9,286.1168650793651,274.64533487686276,HAM
10,299.37453493181135,287.63717812885153,HAM
11,153.41731398222223,151.6618983609221,HAM
12,222.39413162469674,214.36234683428572,HAM
13,271.6123364802219,270.486935370426,HAM
14,271.3621428571428,280.91084621190475,PIA
15,103.11217821425413,103.98416563179201,PIA
16,213.51502033454545,208.7149512711753,HAM
17,275.2180568917224,265.9487752235216,HAM
18,307.43962184873953,289.25369665882357,HAM
19,322.6787476016618,299.5709252546556,HAM
20,332.2853651139048,304.202052864,HAM
21,291.31244019138757,295.80867987709024,PIA
22,146.73459089511522,145.4115938935782,HAM
23,231.8481155088298,212.98877856544217,HAM
24,268.2503178723196,268.7067236336341,PIA
25,,286.68645818666664,PIA
