Minisector,OCO,ALB,Fastest
0,232.92873604463855,231.40320209212675,OCO
1,282.28750026666665,282.40658456903697,ALB
2,299.5212227982587,296.9020238751813,OCO
3,304.93124995555553,302.0752893925926,OCO
4,262.266780828196,261.05177059787496,OCO
5,164.80800516589147,166.11199036201637,ALB
6,261.7479775746201,261.870999844112,ALB
7,282.52147442051285,278.4707542299404,OCO
8,205.3473235449375,211.97829069232512,ALB
9,218.06119585280317,219.08062579015478,ALB
10,179.49614528,184.9995179744931,ALB
11,225.10199669563278,224.65393720816192,OCO
12,201.18518459259258,206.0888065015873,ALB
13,204.2849350448335,213.70557782026626,ALB
14,218.03666671935613,221.86544816105112,ALB
15,176.88267234285715,181.24978028249788,ALB
16,245.7457190694253,245.15908951309513,OCO
17,287.51744543296707,286.6693678124542,OCO
18,301.4521739594203,297.24412767041036,OCO
19,287.8867511794872,283.4285268512821,OCO
20,126.51986700951633,132.10435785322892,ALB
21,153.50995854707512,167.4615859607417,ALB
22,148.63100331601674,142.58995837788063,OCO
23,196.15333636727593,209.3300505662745,ALB
24,146.4803800645294,144.36256522278495,OCO
25,,179.79444195555553,ALB
