Minisector,HAM,ALB,Fastest
0,301.0474567139847,298.6384059670588,HAM
1,318.4131612547743,318.00731456256904,HAM
2,330.1155112793651,326.9717612504202,HAM
3,334.3062261433063,328.5940971555556,HAM
4,197.69731310180288,191.91028680360043,HAM
5,220.22299211924076,229.05991680084657,ALB
6,269.1247783324444,266.7808885827176,HAM
7,269.3460508250945,264.5681893925926,HAM
8,193.8216384849554,199.22412070623236,ALB
9,143.51684812994404,139.72980543851853,HAM
10,185.87672378359926,177.89703632006325,HAM
11,265.74797797647057,263.3532706380045,HAM
12,250.23524056098003,246.92431357930982,HAM
13,232.88904695379034,233.6908862153846,ALB
14,273.62071589931526,269.5183196139307,HAM
15,170.25137149285123,168.53641726197645,HAM
16,219.86098359443224,232.47200086262626,ALB
17,236.38711169223706,240.20541427235335,ALB
18,139.66320011026158,134.6119919171676,HAM
19,251.60181895675248,241.80934399492062,HAM
20,286.63480937614315,283.19943628196984,HAM
21,241.60729803982684,246.20683483826087,ALB
22,143.73757967772002,142.91848014307303,HAM
23,223.00323163033127,218.34326516114285,HAM
24,273.1912059773738,272.5848089978872,HAM
