Minisector,GAS,STR,Fastest
0,316.2754774,318.3669022898245,STR
1,319.0162526144927,328.32298952469404,STR
2,312.6970645212121,324.63456438787875,STR
3,202.94859422253737,199.12405117555446,GAS
4,125.56308713469704,121.29095685790361,GAS
5,264.90385750123454,267.1142180871739,STR
6,295.48208563352796,300.99427062222225,STR
7,301.82638888888886,315.77471538881986,STR
8,272.35181667179717,291.37593367767164,STR
9,151.62257900642666,146.19877973861597,GAS
10,225.60143267619048,225.63938513744102,STR
11,222.79787962534925,219.7262724798248,GAS
12,203.11955362285713,200.9000393270321,GAS
13,268.1103830857143,269.2721171785724,STR
14,299.03886386031746,304.87269694409935,STR
15,307.64692030144926,316.56845664894996,STR
16,263.34347481904763,267.593362962963,STR
17,214.26050455919193,205.5177727678754,GAS
18,272.7187952996337,272.60936490421125,GAS
19,301.7524998217143,305.39148507826087,STR
20,307.36990406321655,319.67686137596644,STR
21,297.4711809269841,310.90572952315864,STR
22,219.46190107689992,210.42164123196903,GAS
23,265.5975304296296,262.9471723809524,GAS
24,299.43076287199267,301.5249841498183,STR
