Minisector,RUS,VER,Fastest
0,274.4175734002771,271.00401311390476,RUS
1,299.99561152,299.43274284523915,RUS
2,314.0067768420024,312.5498069645311,RUS
3,321.5780991866667,321.4968682434709,RUS
4,325.6182603870145,326.2833431149206,VER
5,326.4418807791746,328.2210938,VER
6,209.09241370020496,203.75920595258663,RUS
7,104.5253684922172,105.8281187648637,VER
8,193.70562654507142,186.4221351072578,RUS
9,261.03495857296576,261.18704343135937,VER
10,290.18512670102535,290.176153,RUS
11,171.3028988520118,178.24758901550865,VER
12,97.01942422779399,97.58902348225689,VER
13,114.16241650560228,115.01409238020342,VER
14,217.5892235826087,218.06323652183005,VER
15,192.07765713199834,193.55989709919194,VER
16,228.09489792581817,227.63472176761903,RUS
17,185.03395352808857,182.79345659238095,RUS
18,236.544711545034,241.71237180326202,VER
19,276.5178429028571,279.3331343365079,VER
20,248.8452067204637,252.18888169081288,VER
21,149.4824952083117,145.6349357230303,RUS
22,99.49522754150372,97.23701513757163,RUS
23,128.4106183752034,121.94796943769315,RUS
24,226.64131081142858,225.42606132149547,RUS
