Minisector,SAI,MAG,Fastest
0,269.80714370975056,268.5630695836867,SAI
1,233.63890205714287,248.8573625509957,MAG
2,114.71435326252565,119.4360265614255,MAG
3,174.7065206469622,172.35176190994386,SAI
4,191.11854165330857,191.50049286384237,MAG
5,189.96671236258206,190.9516431068033,MAG
6,262.8349246623626,264.8462335498039,MAG
7,285.22623161829586,285.5073937746032,MAG
8,227.97832876039848,225.35214388109665,SAI
9,147.31497463927042,143.57358757239766,SAI
10,113.82335475421937,110.22221471736381,SAI
11,150.42245927261837,151.11215570395748,MAG
12,242.9680479531629,243.35153881904765,MAG
13,153.64892314559867,154.65474512184332,MAG
14,142.75827085882014,143.36890684931217,MAG
15,108.01606065441321,109.02084541696009,MAG
16,225.31565438234162,213.99195517521892,SAI
17,226.50026572348293,234.92892578222222,MAG
18,125.22618836838993,125.26276186767453,MAG
19,241.86680804746453,237.60484097626906,SAI
20,277.2494411236774,272.90490355116884,SAI
21,198.87884624646463,207.34630625261525,MAG
22,140.2167011453086,140.33187532703846,MAG
23,210.48708354641272,210.5371123757775,MAG
24,227.23810942217145,220.9675873457557,SAI
25,254.5714304,254.14500096,SAI
