Minisector,HAM,RIC,Fastest
0,311.46117472499526,308.4810949393139,HAM
1,246.5178905499423,235.82407450451464,HAM
2,138.99628692426256,141.43425272962813,RIC
3,221.26588459543876,220.23739450119797,HAM
4,265.74032112147955,263.7766283463335,HAM
5,291.4477286433559,290.05992613773935,HAM
6,306.953692432017,304.6062499809524,HAM
7,290.26810876026207,289.19044762028926,HAM
8,172.39197811677494,182.1515486671143,RIC
9,242.53696326850556,242.89594234587972,RIC
10,276.4653672822204,273.9239186375806,HAM
11,275.3205220976898,271.80224708340324,HAM
12,211.88191959493471,212.80300491410273,RIC
13,135.21227446657315,138.41195109478127,RIC
14,123.77259622301351,123.79611259046872,RIC
15,167.80127360898624,174.73915378419355,RIC
16,126.25315804590618,126.0737435774122,HAM
17,234.81962690611712,232.25578695034056,HAM
18,192.07257551223805,194.65897549722277,RIC
19,160.85947241033924,167.85982395064906,RIC
20,246.66228867809298,246.95467438188356,RIC
21,277.9445606719974,276.4950328703055,HAM
22,294.6777654976717,293.08190553488066,HAM
23,306.30674619725994,303.2021409769797,HAM
24,311.40034397877275,308.1455315309734,HAM
25,312.3250002285714,309.69037611638464,HAM
