Minisector,RUS,VER,Fastest
0,281.42370998973036,281.9394506238603,VER
1,122.0071877828362,123.70385677013142,VER
2,163.71290897833507,161.94534222250445,RUS
3,218.96055937163638,217.56581323658725,RUS
4,170.7699627798121,165.24812101213132,RUS
5,243.22120613614038,244.1460889328254,VER
6,226.98172207790273,225.08775083636365,RUS
7,135.09962114233826,138.62095083193086,VER
8,226.8184791109433,234.59437473677733,VER
9,276.31138569222225,274.4987744878431,RUS
10,292.002695852344,290.3721776955315,RUS
11,166.2604415893651,156.26337543471584,RUS
12,217.05824447016553,219.4865074519001,VER
13,268.5969814689216,269.14246344690605,VER
14,276.72672102233764,280.5154594590688,VER
15,102.56363732996569,99.95662025975162,RUS
16,201.90321145697723,214.2456865825714,VER
17,270.9638218186147,271.1228158197097,VER
18,291.20672294184874,293.4950340888554,VER
19,303.44689481981266,304.9335635805195,VER
20,308.3972222273016,311.0250204183007,VER
21,286.77759115670995,301.90023990711757,VER
22,157.47166676667763,163.28413534616453,VER
23,235.93812226285715,229.12598167163324,RUS
24,275.29834235050515,275.45505436316444,VER
25,287.88500096,287.80476281904765,RUS
