Minisector,LEC,VET,Fastest
0,319.64185604848484,303.08879134986194,LEC
1,320.0890578961511,305.45535524436804,LEC
2,268.09722222222223,267.6160324533393,LEC
3,149.5691997416209,151.30699393466523,VET
4,163.43579046153846,165.59179130453606,VET
5,213.4516469231746,210.61964495320552,LEC
6,229.7974521773553,238.8957956998122,VET
7,209.25662696634922,210.0309657529017,VET
8,259.4133466393739,260.01556005330093,VET
9,253.55462452161174,258.7319525912381,VET
10,267.64185376982414,274.59970206984127,VET
11,273.5621376115942,278.36416452763643,VET
12,271.85805799853955,277.95700853875206,VET
13,268.68600941877446,270.9523257939164,VET
14,178.4456986257295,168.87840133874647,LEC
15,233.36579358363875,232.28162793827082,LEC
16,208.9105085232184,213.57727236066162,VET
17,163.9038534255639,160.88111859763416,LEC
18,253.24998291916845,252.5336531223443,LEC
19,283.5508928207792,282.9041533315786,LEC
20,247.29000083965255,257.96454568883945,VET
21,180.1780987159664,183.83773480122832,VET
22,253.59158404932808,253.81206616707507,VET
23,283.16066014199134,283.7108185513562,VET
24,297.74640155151513,297.71721029565214,LEC
25,,303.0124992,VET
