Minisector,NOR,HUL,Fastest
0,317.992055379317,312.2021973267034,NOR
1,145.19702057916,142.1566376529995,NOR
2,220.02452509707592,211.43731666747922,NOR
3,277.2687675911111,273.2370404432029,NOR
4,312.99635319338574,310.4415051435585,NOR
5,322.08684035932646,313.1250596417849,NOR
6,155.45122498263842,148.35009687544465,NOR
7,248.87954895817322,246.30690363527665,NOR
8,121.1468650096332,117.59560338467547,NOR
9,147.24194773690155,137.80234605820198,NOR
10,269.7728290332069,267.47781009564426,NOR
11,296.08175321125543,297.1384520817316,HUL
12,263.89632371866423,269.16888744902,HUL
13,164.91903873261302,147.07929873687746,NOR
14,275.22663232007585,270.1849535611245,NOR
15,308.04799105683117,304.08142972718036,NOR
16,323.3516452774175,320.30749520647504,NOR
17,330.8657168954037,327.9540992145125,NOR
18,334.70826187839873,334.12274639274375,NOR
19,338.5611542327122,332.46151927387166,NOR
20,229.00777001714113,231.14250440704183,HUL
21,152.9600900748088,153.4569236405895,HUL
22,275.19917258906617,273.0884778689924,NOR
23,310.308728812977,308.96254964444444,NOR
24,320.5012584676364,322.937096967619,HUL
25,320.96785645714283,321.97343739999997,HUL
