Minisector,VET,STR,Fastest
0,291.9063623373494,285.12211668698416,VET
1,161.03539966996362,155.7843814590829,VET
2,155.83020937614035,150.5271768,VET
3,228.09761843809522,226.59328814992267,VET
4,285.5611278575569,284.9747701842607,VET
5,288.4390257447741,286.5326069068323,VET
6,148.68650046071164,143.30192345855784,VET
7,146.85333638803988,143.15170684223602,VET
8,147.04718757056278,142.87311409442393,VET
9,190.01351073949175,186.64609333495528,VET
10,132.47693982352976,132.64144094460306,STR
11,124.27699099203691,122.93786576579932,VET
12,167.90722513049204,164.34492416240602,VET
13,269.44602169766233,265.7401045878403,VET
14,290.1608817388821,287.05511355151515,VET
15,151.66673243851469,154.6195185435216,STR
16,211.3942203526882,207.66034672427705,VET
17,177.1385509317614,172.04361522160585,VET
18,272.9086799111111,272.94311531594207,STR
19,294.73389990022673,294.5846589090909,VET
20,308.11467238095236,308.6706558657596,STR
21,315.62220707689846,316.80999994666666,STR
22,318.7167919799499,319.65583327999997,STR
23,319.91208330666666,321.1991666133333,STR
24,319.1317432932101,319.15666672,STR
25,317.6916672,,VET
