Minisector,BOT,SAI,Fastest
0,278.1141767508633,278.79153640350734,SAI
1,293.43937493333334,295.4212498133333,SAI
2,247.6866867204708,234.27639957809978,BOT
3,115.97829126872082,112.62248621885252,BOT
4,128.07219217939885,132.6537937458986,SAI
5,248.41540280071038,248.5778038700355,SAI
6,250.04236088888888,254.3880767065645,SAI
7,122.97067829613806,120.78419046719411,BOT
8,248.54288204444444,246.0674043,BOT
9,263.5655176005106,255.29188588432962,BOT
10,208.62912524926108,207.97992622134646,BOT
11,140.4225961065673,143.98896206671753,SAI
12,205.79258635750887,206.2480995063411,SAI
13,260.95543789437227,262.24288443290044,SAI
14,121.6551561169903,118.97939139346855,BOT
15,195.64373226899718,189.67588682969082,BOT
16,260.69810637575756,255.6189393939394,BOT
17,293.25547784098785,286.8662059305004,BOT
18,306.970888134872,300.23135960701757,BOT
19,312.9578947368421,305.80375008,BOT
20,315.11535090526314,309.79978060350874,BOT
21,169.48982767058826,175.12470318539002,SAI
22,139.06765364346305,139.697700006692,SAI
23,205.81456431255253,199.69773715909653,BOT
24,236.16400017066667,232.6666671111111,BOT
25,264.7499968,263.8367909276125,BOT
