Minisector,VET,GAS,Fastest
0,269.7848008054106,268.42409205813465,VET
1,252.71809686888014,249.1041565732531,VET
2,109.10225830897627,108.59874045616219,VET
3,165.00729601881497,176.4131361035211,GAS
4,175.62012886583832,164.7887121170015,VET
5,210.24819432211092,204.72879474508346,VET
6,270.1659402192306,265.5573084886128,VET
7,284.8893950322995,284.96119046095237,GAS
8,185.24371417479978,180.89689353778343,VET
9,119.81972652537952,129.6759643929083,GAS
10,125.77080250119533,126.5272781475524,GAS
11,174.16731039116655,178.23906122544062,GAS
12,212.4636185737143,225.335237650452,GAS
13,127.20863377031858,128.63614871614234,GAS
14,153.65282784586742,153.55205382548263,VET
15,116.05943715178451,106.96234872828383,VET
16,243.5895796189824,247.29731316476068,GAS
17,141.94975148021163,153.8772562393665,GAS
18,169.57598803875274,178.5929466751286,GAS
19,117.42758314054271,130.85480553062206,GAS
20,122.49037595267623,129.63049808361896,GAS
21,118.277293063635,113.04836482227637,VET
22,139.95683403466666,130.22818435184485,VET
23,217.0080192879568,212.49442090606766,VET
24,229.51643385860686,213.975342132982,VET
25,,253.0380855493193,GAS
