Minisector,PIA,GAS,Fastest
0,274.8436364509091,305.9509394145801,GAS
1,309.732776768,313.3583376054422,GAS
2,288.17851151809526,305.44756932664995,GAS
3,169.66959391727215,183.53531403921815,GAS
4,218.96967490324784,211.1929561594393,PIA
5,194.9232107008547,195.0875220080022,GAS
6,180.2233568824117,178.38163080595353,PIA
7,213.05157837575757,202.92696697998102,PIA
8,253.0242347755102,248.73193730812466,PIA
9,244.88059532867726,252.5892384562253,GAS
10,177.4831440406668,172.6535884582197,PIA
11,237.47967945922275,228.38181335807732,PIA
12,119.11126843001789,124.44773662175795,GAS
13,243.31871541241367,224.26226102119924,PIA
14,274.6749378220408,274.2576867112859,PIA
15,270.3792620948088,274.14365784991736,GAS
16,204.59516821177675,221.81608904494854,GAS
17,193.38278324356006,189.3166003080898,PIA
18,288.5275205250153,279.4670055878385,PIA
19,315.92839277714285,315.31199369454544,PIA
20,310.9653769396825,318.49541295007214,GAS
21,291.67201738018633,300.49515031443224,GAS
22,255.66380598814814,276.8070670365368,GAS
23,124.59802995734826,126.0043240100808,GAS
24,245.49864364062495,228.26015461412152,PIA
25,,286.0368914204445,GAS
