Minisector,VER,PER,Fastest
0,299.38985811855906,310.036088095577,PER
1,232.77819925210332,224.3753319290508,VER
2,145.85752875365364,136.59143792087073,VER
3,226.2993035199823,220.08861939538127,VER
4,265.68559146564326,263.8904336620457,VER
5,288.57849752688765,289.39579839278605,PER
6,301.5858634694735,305.35493116143107,PER
7,278.16715946666665,265.43239361887487,VER
8,181.9361517602096,172.20407566527717,VER
9,246.39267639258853,242.86073678807534,VER
10,276.93487023058356,274.35787967910636,VER
11,271.0436795620214,255.15713309035698,VER
12,218.0600040879023,204.63002503997146,VER
13,135.78010992535638,125.2170618125018,VER
14,134.33396906077922,126.6086767644553,VER
15,166.91426992304028,159.8187574736149,VER
16,130.69690645369062,132.54061417291078,PER
17,235.17026572923973,232.14061058922275,VER
18,190.6671044448127,170.3897962516117,VER
19,172.5939828354786,176.59264580603102,PER
20,251.73602494187284,251.4989826168939,VER
21,280.68998715226274,277.1268947473765,VER
22,293.7989578666667,292.4825390082382,VER
23,302.25019820130694,305.0586820529052,PER
24,304.76999992888886,310.15149203838627,PER
25,306.0,,VER
