Minisector,GRO,PER,Fastest
0,288.6389498408931,282.8156804121301,GRO
1,242.5623397340412,241.32086097737005,GRO
2,270.1707332558378,267.2918209486473,GRO
3,291.29398325692694,279.4748266128651,GRO
4,126.28526380385998,132.59582546977202,PER
5,211.17885536939448,210.76337734921404,GRO
6,273.6902814741148,265.3764437038394,GRO
7,300.49999411923534,286.2223119031795,GRO
8,314.02135956576814,296.6197916,GRO
9,322.30952256969874,302.1650842362384,GRO
10,306.0358821158934,303.8069196571429,GRO
11,104.31795804926095,112.74747199614245,PER
12,220.02995613880012,200.44643978399338,GRO
13,272.5413937838754,267.2530937144482,GRO
14,272.8046362566167,285.78680029285306,PER
15,133.4159787772541,135.10613632227754,PER
16,208.29359344205935,193.9169385877398,GRO
17,258.7470120228923,250.82726948753466,GRO
18,254.6576335591139,264.1762370423236,PER
19,244.55442349251757,235.35899495508087,GRO
20,150.66273758752743,166.34222922624951,PER
21,191.53936402484308,166.47592942994422,GRO
22,173.69656791798437,187.6915664248809,PER
23,187.28142648441934,174.9245334046245,GRO
24,250.0438558257522,240.10518774428124,GRO
25,276.08368305708905,269.26666666666665,GRO
