Minisector,RUS,ANT,Fastest
0,298.11879007237746,303.5935391255411,ANT
1,165.84976054185634,159.84613704591658,RUS
2,155.7751004803186,153.0390170635358,RUS
3,233.01898387548715,237.14775486224485,ANT
4,285.6402991656517,290.6510734172135,ANT
5,287.6516716672831,283.3620522888808,RUS
6,143.66192805061044,145.65515444075868,ANT
7,147.71350698895247,152.41124845747896,ANT
8,136.71894494517556,137.59636338959905,ANT
9,204.2294387382652,200.7600348996628,RUS
10,133.62473570610538,124.73207443623137,RUS
11,132.95574160934262,124.50367104432672,RUS
12,177.40219268416965,180.99637838193175,ANT
13,272.46116540100127,273.473211903169,ANT
14,295.12530966798613,296.555194049202,ANT
15,154.6455888074056,141.42401017736668,RUS
16,206.713194113811,197.39672827628493,RUS
17,178.32619812732003,185.2663482797096,ANT
18,272.0968492174131,274.5181222734494,ANT
19,293.1677984000018,298.14780943896517,ANT
20,308.7023568444091,312.72145105215634,ANT
21,316.82315457423033,321.79048551756887,ANT
22,323.74725092932334,326.43531012836263,ANT
23,326.14773164157606,330.16847959354914,ANT
24,323.9009328294844,329.492620174581,ANT
