Minisector,BOT,SAI,Fastest
0,290.27222186666665,287.46058440839914,BOT
1,296.63405801739134,294.4155796869565,BOT
2,292.334680089441,285.3356641466818,BOT
3,122.30403811310345,111.58179987398987,BOT
4,225.22978590081556,223.73694432,BOT
5,276.26557461587305,272.7726585828571,BOT
6,223.35338606714765,214.4905110118326,BOT
7,166.89682412307693,163.32258686171377,BOT
8,220.6722907997671,212.64086049032258,BOT
9,232.72044388045978,223.08865183034325,BOT
10,123.84969755904483,120.33502567756348,BOT
11,232.5036560741451,234.16376083841374,SAI
12,127.51103786991582,126.92466182179304,BOT
13,230.71962073957306,225.53291252200842,BOT
14,280.2339224990637,279.4822916,BOT
15,228.0817233204301,217.94077194441672,BOT
16,199.43344037183795,192.84206593784532,BOT
17,258.03205078974355,250.49183870658143,BOT
18,220.73861153447794,199.666053441136,BOT
19,180.97837676396398,178.9646662631462,BOT
20,264.1849981642144,262.7554617427615,BOT
21,284.9381944,286.96051593650793,SAI
22,183.12157793198136,175.10511021983356,BOT
23,218.974729427957,218.78011923809524,BOT
24,270.79410258319297,270.4409511450148,BOT
