Minisector,PIA,PER,Fastest
0,304.88092105006103,293.4756303090128,PIA
1,322.34406757079364,307.3522865653781,PIA
2,329.3374448536961,313.49293205360607,PIA
3,332.43945723928766,314.7105764319533,PIA
4,196.08132439844798,193.964190749899,PIA
5,216.04113768549686,211.3323949409994,PIA
6,268.09604215111113,267.4414868525205,PIA
7,259.9543765481349,270.4520180462585,PER
8,189.5835166278458,185.42107849932833,PIA
9,147.26510787098414,143.31405676486094,PIA
10,174.4368732520458,188.57348399130368,PER
11,256.54086216274567,260.80288764245654,PER
12,249.22007236155844,249.63836290666669,PER
13,222.65475762680776,235.72831938726284,PER
14,265.82318751466664,275.1023289102453,PER
15,163.353916700778,162.82277988176628,PIA
16,217.19150037145482,219.00961107602052,PER
17,237.31089616195786,221.04592602110867,PIA
18,133.8661126223939,134.8357319696828,PER
19,237.7842743073716,248.5370846446413,PER
20,279.35449135771427,283.542831375196,PER
21,242.25271039152418,217.65929406410712,PIA
22,139.38221246625233,140.78715508007548,PER
23,208.64076304390406,220.06453868509263,PER
24,273.33614094484943,272.12410802886,PIA
25,284.48333226666665,,PIA
