Minisector,SAI,RUS,Fastest
0,323.3143576140837,326.1882654585034,RUS
1,333.2775759890743,335.38827164444444,RUS
2,329.7467106021053,335.5154147022974,RUS
3,192.2188453711511,188.80762348794963,SAI
4,128.05434171585617,126.92410825334609,SAI
5,269.0824289473646,268.03345716043424,SAI
6,304.1278858495615,302.93803804831646,SAI
7,316.0835192761905,318.98874163428576,RUS
8,277.3768240414815,268.57655309449274,SAI
9,147.11884965893157,145.99981668565522,SAI
10,216.5987524981932,221.61595254262323,RUS
11,223.99621554316738,233.4916568452479,RUS
12,196.75611558023746,202.6028282892857,RUS
13,270.8527577265637,273.75647040865425,RUS
14,307.966887638747,308.695257822763,RUS
15,326.09056260380953,323.5551337447619,SAI
16,272.9849727393939,261.60953861310605,SAI
17,212.56998062784527,226.16254471912652,RUS
18,277.9760028057143,283.3564147545472,RUS
19,309.7664021119845,312.6389095533867,RUS
20,324.99864559703707,326.26901235520387,RUS
21,309.3791727237474,298.87320505332946,SAI
22,198.84306801401684,217.06413243096463,RUS
23,265.5298813981505,272.427350656922,RUS
24,305.7634326796191,307.8799750713464,RUS
25,316.36785737142856,,SAI
