Minisector,HAM,RIC,Fastest
0,292.83731493901416,288.035869542029,HAM
1,312.18196454857144,306.19044100315995,HAM
2,306.05241153657437,302.1220455527605,HAM
3,180.51718063853133,183.4948911674525,RIC
4,228.69974093030015,224.19324722081544,HAM
5,205.82137736049083,210.0974957083744,RIC
6,192.95043267051065,194.94907306229737,RIC
7,220.0228447264368,215.79035273315907,HAM
8,263.522188027898,260.0416671229453,HAM
9,258.7739100126984,263.3442884049562,RIC
10,177.11991556879653,172.43595577581013,HAM
11,246.09479981226667,241.79787162657377,HAM
12,118.7596599985724,116.48257260368203,HAM
13,231.66172054229014,233.0785726065934,RIC
14,280.05714240000003,277.0690884412292,HAM
15,291.25812330256093,282.5028678995671,HAM
16,210.95825894930874,203.2169620735458,HAM
17,186.68739840069907,191.61875134285714,RIC
18,274.51003694545454,273.01413799285064,HAM
19,301.77013765090396,297.5047622603174,HAM
20,313.9406248,308.5748601710499,HAM
21,314.381547784127,307.488094984127,HAM
22,272.6429847536232,253.66133107709814,HAM
23,118.33427417645011,120.11449417648204,RIC
24,244.48471699010082,246.68753604501657,RIC
25,278.27142765714285,,HAM
