Minisector,NOR,HAM,Fastest
0,290.5133769204205,299.1199349989326,HAM
1,164.96156878226495,157.76794806908887,NOR
2,177.45434909161793,168.5277662607423,NOR
3,256.0004207190722,254.80479386196592,NOR
4,289.3784002015238,291.36668866680986,HAM
5,245.5624085448756,254.77010897015873,HAM
6,224.36082429923852,223.5875817027417,NOR
7,157.02697069537916,147.48410419255208,NOR
8,223.77912081345403,227.87134498489553,HAM
9,277.8898441331602,281.85694824704035,HAM
10,297.5265330087157,303.1314769108805,HAM
11,306.7593537959184,318.9677409669747,HAM
12,309.1844689394395,329.06488010857584,HAM
13,307.8060272633135,326.41113746269036,HAM
14,132.38353083988474,121.82595330072748,NOR
15,118.13406492917466,112.54321326018466,NOR
16,102.98332411286756,101.41633915813871,NOR
17,233.82110878044048,238.03510113431875,HAM
18,286.11859616715725,287.8268052839506,HAM
19,305.91874160314836,313.99093591448747,HAM
20,315.8858974881203,330.7956947405752,HAM
21,318.76120627649124,332.3314177163636,HAM
22,117.96408805327037,123.82135755039424,HAM
23,204.3603710002005,205.20998701824857,HAM
24,270.54229534018447,271.8407990886957,HAM
