Minisector,PIA,NOR,Fastest
0,291.0554977658095,288.72320772909336,PIA
1,301.9233823018488,298.85684592592594,PIA
2,303.2390176005409,304.3847144133067,NOR
3,193.48065947193334,200.34853639356407,NOR
4,210.3424484868214,213.61264779142465,NOR
5,202.89470825031694,204.07669334110412,NOR
6,262.56657869172903,261.712127219512,PIA
7,255.28955131097308,262.435201591342,NOR
8,213.4695762100618,222.0563428739527,NOR
9,210.75627022058373,221.6030085775238,NOR
10,140.75313830086628,138.757945016306,PIA
11,200.89679340495348,214.73036947130603,NOR
12,188.4290447884283,182.75540514654378,PIA
13,252.05906370811508,252.86115278089719,NOR
14,185.49942644063492,187.53611902841268,NOR
15,231.4871043339269,230.36627247674735,PIA
16,279.7119981329705,277.76149002136646,PIA
17,290.767638281946,289.4994024302575,PIA
18,285.63933506408716,282.1522946365714,PIA
19,273.4462897287247,271.5284386218275,PIA
20,265.82625424159164,272.37263755064754,NOR
21,264.88941810427934,264.63474280671204,PIA
22,231.14001794288512,242.56583854745256,NOR
23,207.63863368932104,212.96580424302215,NOR
24,266.9888140300164,268.0187547385052,NOR
25,281.0,,PIA
