Minisector,HAM,LAW,Fastest
0,133.70193195669518,238.14666678857142,LAW
1,153.2395886556322,218.00099843386246,LAW
2,212.40800963838635,205.99701399703704,HAM
3,245.79558732698413,228.16856926376812,HAM
4,271.2872164,248.80898116740738,HAM
5,283.6812809333292,267.763235459944,HAM
6,307.0734384,243.6367112528228,HAM
7,315.04009509285714,147.38185296061775,HAM
8,319.50269243076923,115.77449154449761,HAM
9,320.69437488,161.37100669247312,HAM
10,319.4906047587097,173.70930986667298,HAM
11,269.7033233066667,113.61159464925261,HAM
12,199.13463193777454,110.94898160501424,HAM
13,107.39231820057971,160.0440476952381,LAW
14,94.76065602454202,168.3349998786207,LAW
15,135.10931230592288,141.42269034369505,LAW
16,182.75729288205127,136.50585518822513,HAM
17,214.7206192549761,178.6132395447244,HAM
18,236.71521780869566,224.97886419116884,HAM
19,209.61904761904762,264.65801284591913,LAW
20,147.4223664746902,289.81347805170066,LAW
21,123.18263174736842,294.0,LAW
22,142.8436556848485,312.09666673777775,LAW
23,197.43593984447844,320.50971314228343,LAW
24,229.23339442705313,323.6737603702479,LAW
25,,323.1223955333333,LAW
