Minisector,STR,NOR,Fastest
0,304.95978258550724,333.67373303371414,NOR
1,273.3341657303837,297.9907644753623,NOR
2,161.52091152087115,169.40542587290102,NOR
3,199.76151032563544,194.4711909790476,STR
4,233.42732666645753,230.93942280249718,STR
5,269.83763873284175,266.7789997653333,STR
6,216.63238781665675,224.1888544596272,NOR
7,204.66658734538615,212.90601108166942,NOR
8,147.73945995723977,150.83727499212256,NOR
9,194.27349982685774,197.68184202714423,NOR
10,165.20889192710843,173.1624307924617,NOR
11,219.7031236817401,220.0994606107527,NOR
12,223.5711742252023,225.6142562288855,NOR
13,171.19001243701888,172.78035827897935,NOR
14,256.7254986711024,258.04921580503753,NOR
15,278.0424603174603,275.28,STR
16,262.71169870769234,267.3573109412522,NOR
17,252.24147122779846,255.80555595061728,NOR
18,251.9411107395466,256.0668320432934,NOR
19,239.2101892231873,244.80503555486837,NOR
20,266.27,265.00219726927037,STR
21,218.30775348741295,177.31795640100552,STR
22,238.13005888860005,242.93120048724865,NOR
23,275.8012182129896,286.9367229283644,NOR
24,296.01231884057967,302.5019068668685,NOR
25,300.85000106666666,,STR
