Minisector,PIA,ALB,Fastest
0,265.28141422603176,258.1740246414492,PIA
1,128.51328080352368,133.9320509912945,ALB
2,269.21036033352954,268.00521750747447,PIA
3,309.7587873870222,309.5171683911022,PIA
4,309.9842158692634,307.8742237578159,PIA
5,318.1068576740741,317.78046665698497,PIA
6,321.7318804875953,322.8216312507475,ALB
7,323.79041674666666,320.9374626091407,PIA
8,207.39833550213098,191.57892983200182,PIA
9,205.21819333433973,207.45350015392572,ALB
10,183.72293504038095,177.96406827128027,PIA
11,177.65257183202618,176.27133573083367,PIA
12,260.90049782652017,262.4771973606151,ALB
13,285.4954483075057,278.20244247628455,PIA
14,289.52743444996634,282.06329826723714,PIA
15,280.2491628232417,259.4032363085714,PIA
16,174.11882506135643,172.73248260407405,PIA
17,203.09663681519945,198.55164909651938,PIA
18,252.2693155661612,250.15117549278912,PIA
19,294.2863159398429,292.67054053265593,PIA
20,312.79918243959634,312.13439270486566,PIA
21,317.3132608556522,317.7293574603175,ALB
22,315.0841150770794,314.4099444792889,PIA
23,257.4264329829481,229.10211138492065,PIA
24,120.26167015727673,124.6839618230726,ALB
