Minisector,HUL,GRO,Fastest
0,277.7659712888889,273.0743558984127,HUL
1,297.4413417993586,292.83375158165256,HUL
2,225.92428443218392,231.75807464489796,GRO
3,125.97348679756229,124.3430187132654,HUL
4,184.79255221329777,180.09564724428623,HUL
5,120.76017936728347,119.91669130037862,HUL
6,206.7605057835686,205.4586784340166,HUL
7,257.25462463223283,260.8618400602492,GRO
8,177.3083761615331,177.58393031941452,GRO
9,179.42388204004203,177.25121620765086,HUL
10,265.05572848888886,262.119668584127,HUL
11,190.48161745287157,184.28557566669872,HUL
12,160.00855124926412,163.9914391091575,GRO
13,258.84455933525066,254.4840996313921,HUL
14,276.84897151861475,271.21671874782606,HUL
15,289.8682288577707,286.0860048737923,HUL
16,201.0963535385561,202.44248936666668,GRO
17,185.93301568936172,193.11672693916378,GRO
18,244.34799803733335,240.31836559012348,HUL
19,285.852868561446,280.9894485541126,HUL
20,296.82777771247163,292.5476193015873,HUL
21,201.2363537419694,194.77261613714285,HUL
22,144.74465135167054,142.40209826839828,HUL
23,155.24111262711116,153.54287348953176,HUL
24,227.9867710828892,220.65731734502285,HUL
25,262.8838143332267,256.6142857142857,HUL
