Minisector,PER,LEC,Fastest
0,302.15717588148146,309.7921296,LEC
1,249.50503154714315,233.2756047690807,PER
2,140.8478406890479,130.9265816099562,PER
3,219.44225071637405,216.81713777336805,PER
4,265.31432513372295,264.98937551999995,PER
5,290.12499976296294,297.3601814745833,LEC
6,303.66064859259257,318.31666800603796,LEC
7,277.0922622678848,287.6103052350877,LEC
8,185.1457819505863,177.94308008885727,PER
9,247.1452399238095,237.80297233465993,PER
10,277.0095116494623,275.57478107268173,PER
11,268.9724078943882,271.8603058526316,LEC
12,215.71483323733332,212.0238846028091,PER
13,134.7201892020364,128.82708536799893,PER
14,129.54633823206927,120.78784779551829,PER
15,175.24741599868082,158.80023059213957,PER
16,127.53222354636063,126.68287791374857,PER
17,232.2361063404939,228.42157219635592,PER
18,191.0186381453277,185.93807260689655,PER
19,167.4222860810545,156.54863099563457,PER
20,249.16944365714286,244.1481611705628,PER
21,276.9391696679929,276.12926469529367,PER
22,291.79421009634,292.4828664766548,LEC
23,296.8173941333333,300.8120371555556,LEC
24,300.7029411764706,305.0627035205052,LEC
25,300.3666666666667,,PER
