Minisector,LEC,ALB,Fastest
0,282.25726526295364,278.37427996414857,LEC
1,124.05767512746156,117.6009055241031,LEC
2,158.7479692728452,148.0856789245213,LEC
3,218.8958106813187,204.75352980955128,LEC
4,158.69860874752928,161.6005392087683,ALB
5,239.03265722597405,240.45994401966036,ALB
6,213.68014990180845,194.52671351966606,LEC
7,134.83269284547768,132.21977236462584,LEC
8,230.90937814764015,231.89957134754346,ALB
9,274.26386554452796,273.2941483915593,LEC
10,280.4600762085137,283.55814072888893,ALB
11,146.54198954754648,143.28687693825395,LEC
12,213.1750980682473,212.16242968449436,LEC
13,266.90781749841267,267.3065441169665,ALB
14,268.7034280747475,260.4156815390476,LEC
15,96.52282039363064,96.04662659651869,LEC
16,219.16848586155285,218.2730166125255,LEC
17,270.679942472671,269.98316217640695,LEC
18,290.6256022408964,293.8652426179663,ALB
19,302.03349678580764,302.93297998085063,ALB
20,308.48518643608685,310.0545336848485,ALB
21,287.1467857015873,286.2251659391388,LEC
22,153.7775117177216,147.2059505946236,LEC
23,230.03844749913043,235.53600192304762,ALB
24,274.30097219812416,275.9414588266667,ALB
25,287.57660317297325,,LEC
