Minisector,PER,OCO,Fastest
0,292.37612861555215,289.8965990109091,PER
1,209.2089241918797,205.315474623136,PER
2,225.80384279536142,224.99739770487616,PER
3,274.1497069234533,273.09093196841127,PER
4,249.01467658450167,236.2282626145055,PER
5,132.55067723330006,128.87056647934267,PER
6,212.67638772167044,212.78918809162627,OCO
7,257.14806821388714,253.9607842094437,PER
8,246.44721202381749,234.263066624903,PER
9,231.30658821804985,230.18731086950208,PER
10,275.6661821884092,272.78762555538026,PER
11,294.3899368012426,292.36136944880997,PER
12,303.8828127911111,301.98567324840405,PER
13,308.16907902556386,307.0737745568627,PER
14,311.3117647372549,306.5710797791784,PER
15,268.21262633802314,254.608838951342,PER
16,240.13754675870317,234.23059924961754,PER
17,278.485781494722,275.1158543136508,PER
18,296.80263518695904,288.60729423665896,PER
19,156.3298408815777,151.8587935667412,PER
20,209.1120091263734,205.51642756849884,PER
21,188.49093526531183,189.25482664464994,OCO
22,137.10975051271433,137.21224934337002,OCO
23,238.70394073469205,232.01039916561578,PER
24,281.67376554739394,274.4618570278788,PER
25,,288.01041706666666,OCO
